customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
9972-VAFJJ;Female;1;Yes;No;53;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;No;One year;Yes;Electronic check;94;4871.45
0422-UXFAP;Female;0;Yes;No;51;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;98.85;4947.55
1904-WAJAA;Female;0;Yes;Yes;24;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Electronic check;64.35;1558.65
5130-YPIRV;Female;0;Yes;No;62;Yes;No;DSL;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Credit card (automatic);72;4284.2
2843-CQMEG;Male;0;No;No;24;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;49.7;1218.25
6439-PKTRR;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Electronic check;80.7;5617.95
5351-QESIO;Male;0;No;Yes;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24.2;24.2
0786-VSSUD;Male;1;No;No;16;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;Yes;Mailed check;39;679.85
5568-DMXZS;Female;0;No;No;8;Yes;No;DSL;No;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;65.45;554.45
8468-FZTOE;Female;0;Yes;Yes;72;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Electronic check;74.35;5237.4
6633-SYEUS;Female;0;No;No;23;Yes;No;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Bank transfer (automatic);83.2;2032.3
6447-GORXK;Male;0;No;Yes;31;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);25;789.2
6967-PEJLL;Male;0;Yes;Yes;37;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;Yes;Electronic check;40.2;1525.35
3976-BWUCK;Female;0;Yes;No;30;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);94.1;2804.45
5981-ZVXOT;Female;1;No;No;35;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;108.35;3726.15
1684-FLBGS;Female;0;Yes;Yes;23;Yes;Yes;DSL;No;Yes;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);69.5;1652.1
1389-WNUIB;Female;0;Yes;Yes;20;Yes;Yes;DSL;Yes;No;No;No;Yes;Yes;One year;No;Bank transfer (automatic);76;1588.75
0376-OIWME;Male;0;Yes;No;36;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93.6;3366.05
3585-ISXZP;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);95.65;778.1
0218-QNVAS;Male;0;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);100.55;7113.75
6583-QGCSI;Female;1;Yes;No;50;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;88.05;4367.35
0804-YGEQV;Female;0;Yes;Yes;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);24.45;993.15
7164-BPTUT;Male;0;No;Yes;57;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;89.55;5012.35
4174-LPGTI;Female;0;Yes;Yes;41;Yes;No;DSL;No;Yes;No;Yes;No;Yes;One year;Yes;Bank transfer (automatic);66.5;2728.6
2523-EWWZL;Female;0;Yes;No;27;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;76.1;2093.4
0928-XUTSN;Female;0;No;No;13;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80.5;1011.8
2108-XWMPY;Male;0;No;No;3;No;No phone service;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;35.45;106.85
0052-YNYOT;Female;0;No;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;20.55;1343.4
6304-IJFSQ;Male;0;No;No;3;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;49.9;130.1
9586-JGQKH;Female;0;Yes;No;64;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);105.4;6794.75
4501-VCPFK;Male;0;No;No;26;No;No phone service;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;35.75;1022.5
6075-SLNIL;Male;0;No;No;38;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);95.1;3691.2
9347-AERRL;Male;0;Yes;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19.3;486.2
0093-XWZFY;Male;0;No;No;40;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);104.5;4036.85
2274-XUATA;Male;1;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);63.1;4685.55
1980-KXVPM;Female;1;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);75.05;256.25
7703-ZEKEF;Male;0;No;No;23;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;81;1917.1
0723-DRCLG;Female;1;Yes;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.45;74.45
5482-NUPNA;Female;0;No;No;4;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;60.4;272.15
6691-CCIHA;Female;0;Yes;No;62;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;84.95;5150.55
1685-BQULA;Female;0;No;No;40;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);93.4;3756.4
9053-EJUNL;Male;0;No;No;41;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;89.2;3645.75
0666-UXTJO;Male;1;Yes;No;34;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85.2;2874.45
1471-GIQKQ;Female;0;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;49.95;49.95
4807-IZYOZ;Female;0;No;No;51;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.65;1020.75
1122-JWTJW;Male;0;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.65;70.65
9710-NJERN;Female;0;No;No;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.15;826
9837-FWLCH;Male;0;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19.2;239
1699-HPSBG;Male;0;No;No;12;Yes;No;DSL;No;No;No;Yes;Yes;No;One year;Yes;Electronic check;59.8;727.8
7203-OYKCT;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;104.95;7544.3
1035-IPQPU;Female;1;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103.5;6479.4
7398-LXGYX;Male;0;Yes;No;44;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);84.8;3626.35
2823-LKABH;Female;0;No;No;18;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);95.05;1679.4
8775-CEBBJ;Female;0;No;No;9;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);44.2;403.35
0550-DCXLH;Male;0;No;No;13;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;No;Mailed check;73.35;931.55
9281-CEDRU;Female;0;Yes;No;68;Yes;No;DSL;No;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);64.1;4326.25
2235-DWLJU;Female;1;No;No;6;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;44.4;263.05
0871-OPBXW;Female;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20.05;39.25
3605-JISKB;Male;1;Yes;No;55;Yes;Yes;DSL;Yes;Yes;No;No;No;No;One year;No;Credit card (automatic);60;3316.1
6894-LFHLY;Male;1;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75.75;75.75
9767-FFLEM;Male;0;No;No;38;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69.5;2625.25
0639-TSIQW;Female;0;No;No;67;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);102.95;6886.25
8456-QDAVC;Male;0;No;No;19;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);78.7;1495.1
7750-EYXWZ;Female;0;No;No;12;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Electronic check;60.65;743.3
2569-WGERO;Female;0;No;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);21.15;1419.4
6840-RESVB;Male;0;Yes;Yes;24;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;84.8;1990.5
2234-XADUH;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);103.2;7362.9
4801-JZAZL;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;29.6;346.45
8361-LTMKD;Male;1;Yes;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;74.4;306.6
3186-AJIEK;Male;0;No;No;66;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);105.65;6844.5
